SL,Text,Category,Polarity
1048,"খুব ভাল বড় গোষ্ঠী এবং উদযাপন জন্য, আমাদের সুপার হ্যাপি ওয়েটার ছিল সন্ধ্যার বিনোদন।",service,positive
1049,"খুব ভাল বড় গোষ্ঠী এবং উদযাপন জন্য, আমাদের সুপার হ্যাপি ওয়েটার ছিল সন্ধ্যার বিনোদন।",anecdotes/miscellaneous,positive
1050,আমি ওয়াইন উল্লেখ করেছি?,food,neutral
1051,"প্লাস, বুধবার রাতে বাড়িতে ওয়াইন ছিল অনেক ।",food,positive
1052,এটা থেকে আমার প্রিয় রেস্তোরাঁ Brooklyn পর্যাপত  দূ,anecdotes/miscellaneous,positive
1053,এটা এত জোরে  এমনকি  আপনি আপনার পাশের  ব্যক্তির সাথে কথা বলতে পারবেন না।,ambience,negative
1054,প্রেমের পিজা 33 ..,anecdotes/miscellaneous,positive
1055,"এমনকি আমার ভারতীয় বন্ধুটিও বিশ্বাস করতে পারে না যে, কতটা সুস্বাদু ছিল সবকিছু ।",food,positive
1056,"আমি ইংল্যান্ড থেকে এসেছি, এবং হারু সত্যই। সেরা আমার NYC ছিল।",anecdotes/miscellaneous,positive
1057,কম =তাদের ক্ষেত্রে এটা আরো ।,anecdotes/miscellaneous,positive
1058,রুবির খাদ্য একটি পর্যটক ফাঁদ।,anecdotes/miscellaneous,negative
1059,আমি এখানে কয়েকবার এসেছি এবং প্রভাবিত না হয়ে পারিনি।,anecdotes/miscellaneous,negative
1060,আমি অনেক সময় ছিলাম এবং কখনও হতাশ হইনি।,anecdotes/miscellaneous,positive
1061,হায় বেলা,anecdotes/miscellaneous,neutral
1062,যেমন  তার  একটি বিশেষ বেকারি থেকে  রুটি  আসত আমরা  যখন তার এটি ডাউনটাউন ম্যানহাটানের ক্রয় দেখেছি।,food,negative
1063,যেমন  তার  একটি বিশেষ বেকারি থেকে  রুটি  আসত আমরা  যখন তার এটি ডাউনটাউন ম্যানহাটানের ক্রয় দেখেছি।,service,negative
1064,এখানে নিখুঁত যোগফলের অংশগুলি  ব্যবহার করা হয়  আমার তুলনায় এটির বিট বড়।,food,neutral
1065,"যাইহোক, ২003 এর গ্রীষ্মে, মনে হয় ব্যবস্থাপনাটি বদলে গেছে এবং দারুণ রোমান্টিক ব্যাকআপের দরুন গ্লাস ফ্রন্টের  বড় দরজাটি স্থানান্তরিত হয়েছে।",service,neutral
1066,"যাইহোক, ২003 এর গ্রীষ্মে, মনে হয় ব্যবস্থাপনাটি বদলে গেছে এবং দারুণ রোমান্টিক ব্যাকআপের দরুন গ্লাস ফ্রন্টের  বড় দরজাটি স্থানান্তরিত হয়েছে।",ambience,negative
1067,আমরা  ভাল খাবেরর জন্য আর এই জায়গা যেতে হবে না।,food,negative
1068,রাস্তার বাকি অংশের তুলনায় এটি অনেক বেশি বয়স্ক রেস্টুরেন্ট।,ambience,neutral
1069,"বারবিকিউড কডফিশ খুব সুন্দর ছিল - যেমন শৌচাগার - তেমনি কল্পিত জমিনটি। কুঁকড়ে কাঁপানো মশলা দ্বারা মাখানো হতো - এটি মশলার রশে মাখানো হতো, তবে হাড়ের মিশ্রণ বা অন্যান্য সস আরও উন্নত করতে পেরেছে।",food,conflict
1070, রেস্টুরেন্ট পদত্যাগ মুহূর্ত থেকে আমাদের  সঙ্গে মনোরোগ চিকিত্সক ছিল!,service,negative
1071,"ডিনার শেষে আপনি  নাচের স্থানে আসুন ,সমভবত এটা আপনার দেখা জীবনের সেরা",ambience,positive
1072,তাজমহল মহা মূল্যবান এবংদামি খাদ্য প্রদান করে।,food,positive
1073,তাজমহল মহা মূল্যবান এবংদামি খাদ্য প্রদান করে।,price,positive
1074,শেফ এবং মালিক পরিবর্তিত হয়েছে ???,service,neutral
1075,আমার প্রেমিক এবং আমি  সম্প্রতি আর্টিজ্যানালএ একটি প্রারম্ভিক ডিনারে ছিলাম এবং আমরা আমাদের অভিজ্ঞতায় সন্তুষ্ট ছিলাম।,anecdotes/miscellaneous,positive
1076,আমি একেবারেই এই জায়গা পছন্দ করেছি,anecdotes/miscellaneous,positive
1077,আমি যতটা সম্ভব সেখানে যেতে চাই যেই স্থানে আমি খেতে পছনদ করি,anecdotes/miscellaneous,positive
1078,কিন্তু কখনও বেকারী অর্ডার করবেনা  অন্যথায় অগভীর বড় পাত্র  বা স্যান্ডউইচ মধ্যে যে বিষয়টি কোনও জায়গা থেকে নেওয়া হয়নি)সকাল থেকে ফ্রাইং করা অনেক কঠিন,food,negative
1079,"বিশিষ্ট Bagels, কিন্তু আপনি কিসের জন্য অর্থ প্রদান করবেন।",food,positive
1080,"বিশিষ্ট Bagels, কিন্তু আপনি কিসের জন্য অর্থ প্রদান করবেন।",price,negative
1081,"পিজা - এনওয়াইসি এর একমাত্র পিজা যা অতিরিক্ত টপ্পাইংথাকে না   - সর্বাধিক ভালো  স্বাদের, তাজা বেকড রুটি পছন্দ করে!",food,positive
1082,"যদি আপনি শহরে থাকেন, এটি অন্য কোন স্থান অনুসন্ধানের মূল্য।",anecdotes/miscellaneous,negative
1083,আমি গ্রামের চারপাশে বিভিন্ন মসৃণ জয়েন্টগুলোতে চেষ্টা করেছি কিন্তু এটিই সবচেয়ে ভাল একটি।,anecdotes/miscellaneous,positive
1084,"আমি এটি একটি ঠান্ডা রাতেপেয়েছি , গরম করার জন্য নিখুঁত স্পট।",ambience,positive
1085,এমনকি তাদের একটি  আমেরিকান চীনা খাদ্য মেনু বিভাগ আছে!,food,negative
1086,"সেবা গরম এবং মনোযোগী ছিল, গরুর মাংস কার্পাসিও চমৎকার ছিল (বিশাল অংশ) এবং  তাজা পাস্তা এবং ভাল প্রস্তুত ছিল।",food,positive
1087,"সেবা গরম এবং মনোযোগী ছিল, গরুর মাংস কার্পাসিও চমৎকার ছিল (বিশাল অংশ) এবং  তাজা পাস্তা এবং ভাল প্রস্তুত ছিল।",service,positive
1088,ক্বলি এবং নেব্বিওলোও একসঙ্গে কাজ করে।,food,neutral
1089," আমার দেখা শ্রেষ্ঠ ইতালিয়ান খাদ্য (এবং ইতালিয়ানহয়ে,  এটা অনেকটা মানি)।",food,positive
1090,আমি আমার সুপারভাইজার  স্নোপাকে আমার সমস্ত বন্ধুদের নিয়ে   ইতালিয়ান খাবারের  জন্য একটী ভাল জায়গায় যেতে বলেছিলাম।,food,positive
1091,একটি মহৎ ব্লকের শেষে এটি অবস্থিত।,ambience,positive
1092," অন্তত কম সেময় বলা যায় কম সময় প্রচেষ্টা, বা অর্থের মূল্য নয়।",price,negative
1093," অন্তত কম সেময় বলা যায় কম সময় প্রচেষ্টা, বা অর্থের মূল্য নয়।",anecdotes/miscellaneous,negative
1094,"চারপাশে তাকিয়ে দেখলাম নিউ ইয়র্কাররা একটি রুমে ভতি্ তারা ভাল  রেস্তোরাঁয় আসল খাবার খা চ্ছে, দেখার জন্য অবিস্মরণীয় একটা ক্লাবহাউস নয়।",ambience,positive
1095,"চারপাশে তাকিয়ে দেখলাম নিউ ইয়র্কাররা একটি রুমে ভতি্ তারা ভাল  রেস্তোরাঁয় আসল খাবার খা চ্ছে, দেখার জন্য অবিস্মরণীয় একটা ক্লাবহাউস নয়।",food,positive
1096,ভাল কাজ ধরে রাখুন!,anecdotes/miscellaneous,positive
1097,হর্লির ভয়ঙ্কর!,anecdotes/miscellaneous,positive
1098,তারা ডিমের  জমানো ট্রে সঙ্গে চলতে না।,ambience,positive
1099,একটি সন্ধ্যায় একটি শোতে যোগদান আগে  আমার বোনকে নিয়ে আসি,anecdotes/miscellaneous,neutral
1100,"গ্রেট বার, আপনার  দেখা সবচেয়ে জমকালো   bartenders (বিশেষত স্বর্ণকেশী ভদ্রমহিলা)।",service,positive
1101,আমাদের পরিকল্পনা ছিল মিষ্টান্ন অর্ডারের  কিন্তু ওয়েটার বিল নিয়ে আসে অর্ডার পরিবত্তন করার আগেই,service,negative
1102,সত্যিই।,anecdotes/miscellaneous,neutral
1103, যে সব শেফ  বিভিন্ন ভাবে  এবং উদ্ভাবনী স্পর্শে খাদ্য দেয় আমি সত্যিই  তাদের ভালবাসি।,food,positive
1104,আমাদের বন্ধু এখনো আসে নি।,anecdotes/miscellaneous,neutral
1105,তাদের রান্না করা শেষ এবং পনির প্রায় অ বিদ্যমান ছিল।,food,negative
1106," আমার খাবার অত্যন্ত ভীতিজনক  ছিল, এবং আমাদের সার্ভার আমাদের  মূল্যপরিসীমার মধ্যে একটি খুব ভাল ওয়াইন দিয়েছিল, পরিবর্তে একটি অনুরূপ মূল্যের ওয়াইন কেনার সময় ভাল ছিল না ।",food,positive
1107," আমার খাবার অত্যন্ত ভীতিজনক  ছিল, এবং আমাদের সার্ভার আমাদের  মূল্যপরিসীমার মধ্যে একটি খুব ভাল ওয়াইন দিয়েছিল, পরিবর্তে একটি অনুরূপ মূল্যের ওয়াইন কেনার সময় ভাল ছিল না ।",service,positive
1108,"Svc একটি বিট অদ্ভুত হতে পারে সময়ে, esp যদি আপনার বড় গোষ্ঠী আছে, কিন্তু সামগ্রিক রেস্টুরেন্ট অবশ্যই আবশ্যক!",service,negative
1109,"একটি বিট অদ্ভুত হতে পারে সময়ে, esp যদি আপনার বড় গোষ্ঠী থাকে, কিন্তু সামগ্রিক রেস্টুরেন্ট অবশ্যই তা আবশ্যক!",anecdotes/miscellaneous,positive
1110,"আমার স্বামী এবং আমি আমাদের বিবাহ  বার্ষিকীর জন্য Jekyll এবং হাইড পাব যেতে হবে, এবং আমাদের বিস্ময় এটি চমত্কার ছিল।",anecdotes/miscellaneous,positive
1111,কখনও কখনও আমি উদাসীন বা অঙ্কিত অনুভূত  করি,anecdotes/miscellaneous,conflict
1112," ভাল খাদ্য, বিশেষ করে তাদের মৌলিক খাবার, এবং পানীয় সুস্বাদু হয়।",food,positive
1113,কিন্তু প্রধান বিস্ময়কর সাফল্য ছিল পুরো গ্রিল মাছ।,food,positive
1114,"আমি টুনার টারটারি, পিনট নীরের সাথে মাশরুম রাভিওলি এবং 49 ডলারে ডেসার্ট ওয়াইনের সাথে চকলেট স্যাম্পার নিয়েছিলাম।",price,positive
1115,একটি গরম  কল্পিত দিনে এটি বন্ধ এবং দুপুরের খাবার ভোগ করতে চেয়েছিলাম।,anecdotes/miscellaneous,positive
1116,বন্ধুত্বপূর্ণ এবং ব্যক্তিগত সেবার সঙ্গে  সুস্বাদু এবং সুন্দর খাদ্য প্রস্তুত করা হয়।,food,positive
1117,বন্ধুত্বপূর্ণ এবং ব্যক্তিগত সেবার সঙ্গে  সুস্বাদু এবং সুন্দর খাদ্য প্রস্তুত করা হয়।,service,positive
1118," যখন আমি কাজ বন্ধ করে সাধারণত রাতে ঘুমাতে যাই, তখন আমাকে ভিড় বা লাইনগুলির মোকাবেলা করতে হয় না।",anecdotes/miscellaneous,neutral
1119,এখানে  পিজা ধারাবাহিকভাবেই ভাল।,food,positive
1120,"ছবি দেখার জন্য আমাদের সময়টা উওম ছিল ,এবং খাদ্য গুল ভাল ছিল  ঠিক আমরা যা খুঁজেন ছিলাম।",food,positive
1121,"ছবি দেখার জন্য আমাদের সময়টা উওম ছিল ,এবং খাদ্য গুল ভাল ছিল  ঠিক আমরা যা খুঁজেন ছিলাম।",ambience,positive
1122,"দুইবার ওয়েটার দ্বারা  টি চেষ্টা করার পরে (আমরা এখনো এটির দিকে তাকাইনি, আমাদের এখনও পূর্ণ বিয়ার আছে), ম্যানেজার এসেছিলেন এবং আমাদের বলেছিলেন যে  রিজার্ভেশন সহ অন্যান্য লোকজনের জন্য টেবিল প্রয়োজন।",service,negative
1123,ডিনারের জন্য এটা সুপারিশ করবে না!,anecdotes/miscellaneous,negative
1124,সসে জল ছিল এবং খাবারে তেমন স্বাদ ছিল না।,food,negative
1125,আমার স্বামী এবং আমি  সিংগারা খাচছিলাম,food,positive
1126,কিন্তু শেষ রাতের জন্য স্পাইস গ্রিল একমাত্র জায়গা যেখানে আমি ভারতীয় খাবার খাচ্ছি।,food,positive
1127,আমরা  দুজনই পাস্তা চেয়েছিলাম  এবং তারা তা সময়মত এবং তাজা পরিবেশন করে।,service,positive
1128,আমরা  দুজনই পাস্তা চেয়েছিলাম  এবং তারা তা সময়মত এবং তাজা পরিবেশন করে।,food,positive
1129," তারপর যখন আমি আমার প্রধান কোর্সের জন্য দ্বিতীয় গ্লাস ওয়াইন অর্ডার করার চেষ্টা করি প্রথমে ভুলবশত অন্য রুটি  ,পানীয় বেরিয়ে আসে",service,negative
1130,"জানিনা পূর্ববর্তী সমালোচক কে ছিলেন, লং, ডাইন্ড, কিন্তু শৌল একজন ভাল  প্রতিবেশী এবং ভাল  খাদ্যের জন্য",food,positive
1131,"জানিনা পূর্ববর্তী সমালোচক কে ছিলেন, লং, ডাইন্ড, কিন্তু শৌল একজন ভাল  প্রতিবেশী এবং ভাল  খাদ্যের জন্য",ambience,positive
1132,"দুর্ভাগ্যজনক  থাইল্যান্ডের খাদ্যের মধ্যে শালীনতার অভাব , এটি সেরা স্থানগুলির মধ্যে এক",food,positive
1133,তাদেরকে বলো হার্কি আপনাকে পাঠিয়েছেন এবং ওয়েটারদের থেকে বিনামূল্যে বিভ্রান্তিকর  একটি চেহারা পাবেন।,anecdotes/miscellaneous,neutral
1134,রিজার্ভেশন তৈরি করুন কিন্তু 15 থেকে ২0 মিনিট বিলম্বিত হওয়ার আশংকা করুন কারণ হোস্টিং স্টাফরা একটি রিজার্ভেশন দিয়ে এসেছেন এমন অতিথিরা এখানে বসে অসুবিধা দেখাচ্ছেন কারণ তারা সম্ভবত টাইম স্কোয়ারের কাছাকাছি  থেকে হেঁটে এসেছেন,service,conflict
1135,খাবার  গড়অনুপাতে আশ্চর্যজনক স্বাদযুক্ত  ছিল।,food,positive
1136,তারা বিশেষ বা নতুন উপাদানের উপর জোর দিতে পারে না যা আমার ভালো থাইর জন্য প্রয়োজনীয়।,food,negative
1137,অন্যান্য ক্ষুধা উদ্রেককর বস্তু এবং খাদ্য,food,neutral
1138,নুডল এবং চালের   খুব সুসবাদু,food,positive
1139,খাদ্য হিসাবে সব সময়ের জন্য ভাল ,food,positive
1140,"ভূত্বক পাতলা, উপাদানগুলি তাজা এবং কর্মীরা বন্ধুত্বপূর্ণ।",food,positive
1141,"ভূত্বক পাতলা, উপাদানগুলি তাজা এবং কর্মীরা বন্ধুত্বপূর্ণ।",service,positive
1142,আপনার বন্ধুদের আপনাকে ধন্যবাদ  দিতে হবে এই জহর তাদের প্রবর্তনের জন্য,anecdotes/miscellaneous,positive
1143,গড়ে  আপনার  ব্যাগেল স্থান থেকে একটু বেশি ব্যয়বহু,price,negative
1144,"খাদ্য রাননারত  ছিল- সসে জল, এবং সবজি কাঁচা ছিল।",food,negative
1145,এবং মূল্যবান  ঝিনুক  ভাজার জন্য  তাদের 'যথেষ্ট পরিমাণে লাঠি ছিল' ,food,positive
1146, সস ব্যবহৃত ছিল  আর তেমন মজাদার ছিলনা,food,negative
1147,লঞ্চের  গোপন মেনু যা প্রত্যেক প্রবেশাধিকার আদেশের সাথে একটি প্রশংসাসূচক রুচিকর খাদ্য বা পানীয় প্রদান করে।,food,positive
1148,আমি সম্পূর্ণভাবে এই স্থানটাকে ভালবাসি!!!,anecdotes/miscellaneous,positive
1149,"চাল ছিল দরিদ্র মানের এবং তাই রান্না  খুব খারাপভাবে হয়েছিল ,এটি ছিল কঠিন ",food,negative
1150,"
আমাদেরর শ্যাম্পেন এবং ক্যাভিয়ার ছিল এবং যার অনুভূতি রাজকুমারীর মত",food,positive
1151,চিংড়ির রাননা  চমৎকার ছিল এবং  প্রচুর  সুসবাদু ছিল।,food,positive
1152,আমি অন্তত আশ্চর্যজনক ভাবে  বলতে  চাই সাফল্য খুঁজে পেতে প্রচেষ্টা এবং অভ্যাস মূল্যবান ।,anecdotes/miscellaneous,negative
1153,"যখন আমার মিষ্টান্ন এসেছিল, সেখানে একটি মোমবাতি ছিল - কেউ তা জানায়নি  কিন্তু ওয়েটার আমাকে আমার জন্মদিনের কার্ড এবং উপহার খোলার সময় তা বলেছিল ।",service,positive
1154,"আমি দশ টাকা দিয়ে 10-টুকরা কম্বো পেয়েছিলাম, যার প্রতিটি  ছিল মজাদার।",price,positive
1155,"আমি দশ টাকা দিয়ে 10-টুকরা কম্বো পেয়েছিলাম, যার প্রতিটি  ছিল মজাদার।",food,positive
1156,চায়নার অন্যান্য  অঞ্চলে ভিয়েতনামীয় রেস্টুরেন্ট আছে এবং আপনি তাদের সম্পর্কে ভুলে যেতে পারেন।,anecdotes/miscellaneous,neutral
1157,খুব সীমিত আসন  আছে এবং ঠিক সময়ে খাদ্য পাওয়ার জন্য যথেষ্ট অপেক্ষা করতে হবে।,ambience,negative
1158,খুব সীমিত আসন  আছে এবং ঠিক সময়ে খাদ্য পাওয়ার জন্য যথেষ্ট অপেক্ষা করতে হবে।,service,negative
1159,"যদি বারে শুধু  মার্টিনি হয় (যা আমি জেফরির সুপারিশ করি) বা রোস্ট চিকেন এর জন্য একটি , গ্রামে যান!",food,positive
1160,না ধন্যবাদ!!!,anecdotes/miscellaneous,negative
1161,"বাইরে একটি টেবিলের জন্য দীর্ঘ ক্ষন অপেক্ষা করতে হয়েছিল, কিন্তু যাই হোক না কেন এটা সূর্যের সামান্য তেজ ছিল তাই আমাদের ভিতরের টেবিলই খুব সুন্দর ছিল।",service,conflict
1162,আমি স্পষ্টভাবে এই রেস্টুরেন্টের সুপারিশ করবো।,anecdotes/miscellaneous,positive
1163,দাম তুলনামূলক ভাবে কম।,price,positive
1164,যদি আপনি মসলাযুক্ত খাদ্য পছন্দ করেন তবে চিকেন ভিন্ডালু পাবেন।,food,positive
1165,এই জায়গাটা আমার   ভাললাগে!,anecdotes/miscellaneous,positive
1166,আমি কখনও হতাশ হইনি কিন্তু তাদের সত্যিকারের শক্তি তাদের বিস্ময়কর সুস্বাদু এবং সস্তা দুপুরের খাবার  স্পেশাল স্পেসে থাকে।,food,positive
1167,আমি কখনও হতাশ হইনি কিন্তু তাদের সত্যিকারের শক্তি তাদের বিস্ময়কর সুস্বাদু এবং সস্তা দুপুরের খাবার  স্পেশাল স্পেসে থাকে।,price,positive
1168,"স্বাভাবিক বারের খাবারের চেয়ে অনেক বেশি, তাদের হাত দিয়ে পরিবেশিত মেনুটি উপভোগের জন্য সেখানে যান।",food,positive
1169,চারদিকে শুধু হতাশা,anecdotes/miscellaneous,negative
1170,এবং তার পুরোপুরি সুস্বাদু,food,positive
1171,বিনামূল্যে কোনও পানীয় নেই,price,negative
1172,আমি বলব যে সব তাজা ও সুস্বাদু ছিল কিন্তু আমার পেট ভরা  ছিল তাই  আমি তেমন কিছু খেতে  পারি নাই।,food,conflict
1173,এটি আমার প্রথমবারের মতো রেস্টুরেন্টের জন্য একটি পর্যালোচনা লিখছে কারণ খাদ্য এবং পরিষেবা চমৎকার ছিল।,food,positive
1174,এটি আমার প্রথমবারের মতো রেস্টুরেন্টের জন্য একটি পর্যালোচনা লিখছে কারণ খাদ্য এবং পরিষেবা চমৎকার ছিল।,service,positive
1175,এটি আমার প্রথমবারের মতো রেস্টুরেন্টের জন্য একটি পর্যালোচনা লিখছে কারণ খাদ্য এবং পরিষেবা চমৎকার ছিল।,anecdotes/miscellaneous,positive
1176,নিশ্চিতভাবে এটি উচ্চতম সুপারিশ  না,anecdotes/miscellaneous,negative
1177,"যদিও তারা কমপক্ষে ক্যাপ্টেন বাজেট রাখে, তারা ব্যাগেলগুলিতে কিছু নগদ রাখে, কারণ তারা শহরের সেরাটাতে থাকে ।",food,positive
1178,"যদিও তারা কমপক্ষে ক্যাপ্টেন বাজেট রাখে, তারা ব্যাগেলগুলিতে কিছু নগদ রাখে, কারণ তারা শহরের সেরাটাতে থাকে ।",price,positive
1179,আমার জন্মদিনের জন্য একটি বিশাল দল ছিল এবং  আমরা ভাল যত্ন নিয়েছিল।,service,positive
1180,দুই তারকা শেফ বেশ কিছু সময় আগে তাদের নিজস্ব জায়গা চলে গেছে।,anecdotes/miscellaneous,neutral
1181,সাজসজ্জার উপর অর্থ অপচয় করবেন না,ambience,positive
1182,গ্রীষ্মে তাদের পিছনের  বাগানটি  খোলা থাকে- বুদ্ধিমান এবং ফ্রেঞ্চদের সাথে বহিরঙ্গনে আসন - আপনি আর কি চাইতে পারেন?,ambience,positive
1183,"কোনও ভারতীয় রেস্টুরেন্টে যান, এবং সেটি পূর্ব ভারতীয় শহর!",anecdotes/miscellaneous,positive
1184,আমি আগে কখনও তুলনামূলকভাবে ভাল নিগিরির  এর 40 টুকরা খাইনি,food,neutral
1185,আমি আগে কখনও তুলনামূলকভাবে ভাল নিগিরির  এর 40 টুকরা খাইনি,anecdotes/miscellaneous,neutral
1186,"এটি অবিশ্বাস্য  পার্শ্ববর্তী স্থাপত্য দেওয়া, এই জায়গার কোন চরিত্র নেই।",ambience,conflict
1187,আমি এটাকে একটি 'ইতালিয়ান রাতের খাবার বলতে পারি ।,anecdotes/miscellaneous,neutral
1188,আমার প্রথম 12 মাস বার্ষিকীতে  আমার GF সঙ্গে ছিল।,anecdotes/miscellaneous,neutral
1189,"স্থানটি মজা করার মত নয় , তবে পানীয়গুলি অনন্য এবং মাতাল হত্তয়ার জন্য যথেষ্ণট",food,positive
1190,"স্থানটি মজা করার মত নয় , তবে পানীয়গুলি অনন্য এবং মাতাল হত্তয়ার জন্য যথেষ্ণট",ambience,negative
1191,"স্থানটি মজা করার মত নয় , তবে পানীয়গুলি অনন্য এবং মাতাল হত্তয়ার জন্য যথেষ্ণট",price,positive
1192,অবশেষে আমি জন্য এই জায়গা দিয়ে গিয়েছিলাম এবং একটি রাতের মেয়েদের  ধন্যবাদ দিয়েছিলাম,anecdotes/miscellaneous,neutral
1193,বেশ কয়েক বছর ধরে  যতন করে রেখেছে এবং খাবারটি চমৎকার।,food,positive
1194,বেশ কয়েক বছর ধরে  যতন করে রেখেছে এবং খাবারটি চমৎকার।,anecdotes/miscellaneous,positive
1195,"তাদের বেগুন গুল  এত সূক্ষ্ম, মিষ্টির মত নরম ",food,positive
1196,আমি প্রার্থনা করি এটি যেন সবসময় খোলা থাকে।,anecdotes/miscellaneous,positive
1197,"কাইতে খাবারের প্রতিটি কামড় সত্যিই সুস্বাদু, তাজা এবং মার্জিত ছিল।",food,positive
1198,সব খাবারই চমৎকার ছিল - অধিকাংশ মাপসই মূল্যের রেস্তোরাঁয় খাদ্যের গুণগত মান বিবেচনা করা হয় মধ্যম মানের এটি একটু বেশি মূল্যবান এবং ভাল ছিল।,food,positive
1199,সব খাবারই চমৎকার ছিল - অধিকাংশ মাপসই মূল্যের রেস্তোরাঁয় খাদ্যের গুণগত মান বিবেচনা করা হয় মধ্যম মানের এটি একটু বেশি মূল্যবান এবং ভাল ছিল।,price,positive
1200,"যদি আপনি কিছু টাকা সংরক্ষণ করতে চান, এখানে যাবেন না।",price,negative
1201,আমার বন্ধু মশারুম পিজা নিয়েছিল  যার সাদ ভাল ছিল ,food,positive
1202,"আমার সঙ্গে  বৃহদাকার সামুদ্রিক মাছ ছিল (মসলাযুক্ত এবং খুব মজর , আমি একজন  বড় ভোজক ছিলাম  এবং শুধুমাত্র অর্ধেক খেতে পারছি )  যখন আমার প্রেমিক অতুলনীয় মাছ এবং চিপস (আবার, একটি বড় পরিবেশন - অন্তত 5 টুকরা মাছ এবং একটি basketful ভাজা).পরিবেশন করত",food,conflict
1203,"আমার সঙ্গে  বৃহদাকার সামুদ্রিক মাছ ছিল (মসলাযুক্ত এবং খুব মজর , আমি একজন  বড় ভোজক ছিলাম  এবং শুধুমাত্র অর্ধেক খেতে পারছি )  যখন আমার প্রেমিক অতুলনীয় মাছ এবং চিপস (আবার, একটি বড় পরিবেশন - অন্তত 5 টুকরা মাছ এবং একটি basketful ভাজা).পরিবেশন করত",service,negative
1204," পিঙ্ক পনি একটি চমৎকার জায়গা ,এটা লজ্জাজনক যে  সুবিধাজনক জায়গায়  অকথিত সেবা",ambience,positive
1205," পিঙ্ক পনি একটি চমৎকার জায়গা ,এটা লজ্জাজনক যে  সুবিধাজনক জায়গায়  অকথিত সেবা",anecdotes/miscellaneous,neutral
1206,এটি প্রথমবারের মতো দাবীটিকে সঠিক বলে মনে হয়নি,food,negative
1207,তোমাকে কুলারীর কাছে যেতে হবে।,food,negative
1208," ফরচিনি মাশরুম পাস্তা স্পেশাল  ছিল, তাই  সীফুড মজাদার ছিল",food,positive
1209,মসলাযুক্ত ভাণ্ডারী এবং লবণ মরিচ দিয়ে চিংড়ি খাওয়ার চেষ্টা করুন।,food,positive
1210,খাদ্যের অংশটি খুব বড়।,food,positive
1211,ফ্রাই ছিল মজাদার,service,positive
1212,"বন্ধুত্বপূর্ণ এবং তথ্যপূর্ণ কর্মচারি, বারের সেবা খুব মনোযোগী এবং প্রম্পট কাঁচা ।",food,positive
1213,এনওয়াইতে সেরা তাইওয়ানি খাবার!,anecdotes/miscellaneous,negative
1214,আমি এনওয়াইসির কাছাকাছি অনেক জায়গাতে পিজা খেয়েছি এবং এটা সবচেয়ে খারাপ ছিল,food,positive
1215,এটা  ভাল খাদ্যের জন্য একটি ভাল জায়গা,food,positive
1216,কিসের জন্য?,anecdotes/miscellaneous,neutral
1218,"তারা শুষ্ক এবং জঘণ্য ছিল, আমি এমনকি আমার প্রথম টুকরা শেষ করতে পারিনি।",food,negative
1219,প্রথম তারিখের জন্য একটি অত্যন্ত  ভাল প্রস্তাব,anecdotes/miscellaneous,positive
1220," অবশেষে আমরা হেসেছি  যখন সে আমাদের মিষটির প্রসতাব অর্পিত করেছিল এবং 10 শতাংশ ছার ছিল  , আমি মনেকরি এটা ভালই ছিল",service,negative
1221,এবং  আপনি কি চান সব কিছুই উচচ দামের,price,negative
1222,"কিন্তু সিচুয়ানের জন্য  অনেক  মানুষ মৃত্যুবরণ করেছে) - চংকিং হট পট, চংকিং হচ্ছে সিচুয়ানের বৃহত্তম শহর, এখন এটি একটি স্বাধীন প্রদেশ পরিণত হয়েছে।",anecdotes/miscellaneous,positive
1223,"রাস্তার নিচে Baroanda এড়িয়ে যাবেন (Eurotrashy, তুণ্ডসদৃশ এবং ব্যয়বহুল) এবং এই জায়গা খুজে বের করবেন",anecdotes/miscellaneous,conflict
1224,এই অবস্থানটি ছেড়ে  এবং সোহোতে যান।,anecdotes/miscellaneous,conflict
1225,কর্মীরা আমার বন্ধুদের উপেক্ষা করে এবং আমি সেখানেই ছিলাম পুরো সময়।,service,negative
1226,"তবুও এই ধরনের অশোভন সেবার সঙ্গে যুক্ত, সেখানে যে কোন ধরনের আগ্রহী কথোপকথন বহন  কািরর  জন্য  সুপারিশ করবে।",service,negative
1227," এক রবিবার বিকালে আমি আমার চার বন্ধুর সঙ্গে এরে গিয়েছিলাম, এবং সেখানে তিনটি উপভোগ্য ঘন্টা কাটিয়েছি।",anecdotes/miscellaneous,positive
1228,"শনিবার রাতে বাসার ভদ্রমহিলা ডিজে সঙ্গীতে অসংযতভাবে  মজা নিয়েছেন, এবং এর সাথেও, অনুরোধ গ্রহণ করেছেন।",ambience,positive
1229,"আমার অন্তত তিনটি তালিকা পূর্ণ করতে হবে, এবং এটাই অন্তত 14 টাকা লাগবে",price,negative
1230,যে কেউ  একটি থাই রেস্টুরেন্টে ভোজন করার জন্য একটি বিশাল হতাশা নিয়ে যায়,anecdotes/miscellaneous,negative
1231,"এটিরসব ছিল কেবল আশ্চর্যজনক, অনন্য এবং সুস্বাদু এবং এটি  কিনারা ভাঙ্গা না সব সেরা।",food,positive
1232,"এটিরসব ছিল কেবল আশ্চর্যজনক, অনন্য এবং সুস্বাদু এবং এটি  কিনারা ভাঙ্গা না সব সেরা।",price,positive
1233,"গ্রেট ওয়াইন তালিকা, যুক্তিসঙ্গত দাম। - সারা",food,positive
